round	value	daily_double	category	comments	answer	question	air_date	notes\
1	200	no	AT THE ART MUSEUM	-	The Metropolitan Museum of Art allows still photography but you must shoot without using this	a flash	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	400	no	AT THE ART MUSEUM	-	As well as an establishment that sells art, it can be one room or area in a museum	a gallery	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	600	no	AT THE ART MUSEUM	-	You may have antiques in your house; the Louvre has this similar but longer word for ancient relics	antiquities	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	800	no	AT THE ART MUSEUM	-	If you liked the exhibition, stop by the museum shop to buy this book about it, from the Greek for "to list\\"	the catalog	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	1000	yes	AT THE ART MUSEUM	-	The museum with the world's largest Van Gogh collection is in this European city	Amsterdam	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	200	no	STATE THE COLLEGE TEAM	(Alex: We want you to name the state where these division 1-A teams will play.)	Gators, Seminoles	Florida	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	400	no	STATE THE COLLEGE TEAM	(Alex: We want you to name the state where these division 1-A teams will play.)	Longhorns,  Aggies	Texas	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	600	no	STATE THE COLLEGE TEAM	(Alex: We want you to name the state where these division 1-A teams will play.)	Wildcats, Sun Devils	Arizona	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	800	no	STATE THE COLLEGE TEAM	(Alex: We want you to name the state where these division 1-A teams will play.)	Black Knights, Orangemen	New York	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	1000	no	STATE THE COLLEGE TEAM	(Alex: We want you to name the state where these division 1-A teams will play.)	Indians, Razorbacks	Arkansas	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	200	no	BIRTHSTONES	-	This April birthstone is "a girl's best friend\\"	diamond	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	400	no	BIRTHSTONES	-	You'll always looked "cultured" in the cultured type of this June birthstone	a pearl	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	600	no	BIRTHSTONES	-	Princess Stephanie of Monaco was born to the purple, so it's fitting that this is her birthstone	the amethyst	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	800	no	BIRTHSTONES	-	You'll rarely see a flaw in this sea-colored gem that's a birthstone for March	aquamarine	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	1000	no	BIRTHSTONES	-	It may surprise you that Montana is a good place to find this blue September birthstone	the sapphire	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	200	no	PARTYING LIKE IT WAS 1999	-	J.K. Rowling held us "captive" in book lines when this third Harry Potter novel came out in 1999	The Prisoner of Azkaban	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	400	no	PARTYING LIKE IT WAS 1999	-	On Dec. 31, 1999 this country took control of a waterway that connects the Atlantic & Pacific oceans	Panama	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	600	no	PARTYING LIKE IT WAS 1999	-	In 1999, this anti-apartheid activist retired as president of South Africa	Nelson Mandela	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	800	no	PARTYING LIKE IT WAS 1999	-	On Feb. 7, 1999, Abdullah II became king of this Arab nation, bounded on the west by Israel	Jordan	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	1000	no	PARTYING LIKE IT WAS 1999	-	Born James Janos, he entered the body politic in '99 as governor of Minnesota	(Jesse) Ventura	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	200	no	TEENS AT WORK	-	At 14, this fairy tale author worked for a director of the Royal Theater in Copenhagen	Hans Christian Andersen	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	400	no	TEENS AT WORK	-	At 16, Tracy Austin beat Chris Evert to win this tennis tournament at Flushing Meadows	U.S. Open	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	600	no	TEENS AT WORK	-	In the 1720s at age 16, this statesman & inventor wrote popular articles for the New England Courant newspaper	Benjamin Franklin	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	800	no	TEENS AT WORK	-	At 13, this march composer became an apprentice with the U.S. Marine Band	John Philip Sousa	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	1000	no	TEENS AT WORK	-	At 16, Cornelius Vanderbilt started a ferry service between Staten Island & this famous 31-square-mile-island	Manhattan	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	200	no	\\"SAT"s	-	The name of this fabric can precede flower, glass or stitch	satin	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	400	no	\\"SAT"s	-	This kind of fat is found in butter & can raise cholesterol levels	saturated	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	600	no	\\"SAT"s	-	\\"Gulliver's Travels" is this type of work that exposes human foolishness & corruption	satire	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	800	no	\\"SAT"s	-	It's a small bag	a satchel	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	1000	no	\\"SAT"s	-	\\"Curiosity killed the cat but" this "brought it back\\"	satisfaction	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	400	no	19th CENTURY LITERARY QUOTES	-	Charles Dickens called him "tightfisted... hard and sharp as flint\\"	(Ebenezer) Scrooge	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	1000	yes	19th CENTURY LITERARY QUOTES	-	1852 U.S. novel with the line "Eliza made her desperate retreat across the river just in the dusk of twilight\\"	Uncle Tom's Cabin	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	1200	no	19th CENTURY LITERARY QUOTES	-	This vessel under Captain Nemo was "cigar in shape" with "two hulls, one inside, the other outside\\"	the Nautilus	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	1600	no	19th CENTURY LITERARY QUOTES	-	Poe wrote that this title maiden "lived with no other thought than to love and be loved by me\\"	Annabelle Lee	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	2000	no	19th CENTURY LITERARY QUOTES	-	He spent 14 years in "the gigantic structure of the Chateau d'If"--A fortress off Marseilles	Edmond Dantes (The Count of Monte Cristo)	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	400	no	RADIO DISNEY TOP 30	-	On the Sept. 2, 2004 Top 30, she was No. 3, 4, 11, 13, 14  & 16; No. 3 was a duet with her sister Haylie	Hilary Duff	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	800	no	RADIO DISNEY TOP 30	-	In 2004, "Breakaway" broke onto the chart for this first winner of "American Idol\\"	Kelly Clarkson	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	1200	no	RADIO DISNEY TOP 30	-	Lindsay Lohan charted with this song & starred in the movie "Confessions of a Teenage" one	Drama Queen	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	1600	no	RADIO DISNEY TOP 30	-	\\"Ocean Avenue" washed onto the Top 30 for this band, whose name is an official warning in soccer	Yellowcard	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	2000	no	RADIO DISNEY TOP 30	-	It's not "Complicated"; this Canadian rocked the House of Mouse with "My Happy Ending\\"	Avril Lavigne	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	400	no	I'M GETTING SPACED OUT!	-	The name of this kind of celestial body comes from the Greek for "wearing long hair"; guess that refers to its tail	a comet	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	800	no	I'M GETTING SPACED OUT!	-	From a Latin word for "attendant", it can be a celestial body that orbits a planet or a manmade object that orbits earth	satellite	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
